Word,Meaning
whose,谁的
case,箱 ，盒；容器；套； 踩点
your,你 的 ，您的 ，你们的
see,看； 了解 ，领会
large,大的；大量的 ，大规模 的
old,年纪大的 ，老的； … … 岁的
small,小的
school,学校； 一 群
name,给 … …取名； 名字
Swedish,瑞典的；瑞典语的； 瑞典语
big,大的， 巨大的
give,给
man,成年男子 ，男人
catch,抓住
Chinese,中国的； 中国人
what,什么；什么东西 ，怎 样的东西； … 的事物
long,长的； 长久地， 长期地； 渴望 ，极想
which,哪个， 哪几个， … … 的， … …那个
number,数字； 达 ，总计
house,房屋 ，住宅； 给 …房 子住
plate,盘子 ，碟子； 电镀
excuse,理由 ，借口； 原谅
me,我
book,书； 预定
watch,表；看守； 观看 ，注 视
coat,外套 ，大衣
dress,连衣裙； 打扮 ，穿着
skirt,裙子； 装边于
shirt,衬衫
car,汽车 ，小汽车 ，轿车
umbrella,伞 ，雨伞
please,请； 使快乐 ，使愉 快
here,在这里 ，到这里 ，从 这里 ，朝这里；这里
my,我的
ticket,票 ，券
sorry,抱歉的 ，歉疚的； 对不起 ，很抱歉
sir,先生
suit,西服 ，套装；服装； 适合；相配
teacher,教师 ，老师 ，教员
son,儿子
engineer,工程师；火车司机； 当工程师；计划
postman,邮递员
nurse,护士； 护理 ，照顾
mechanic,机械师 ，机械修理工
housewife,家庭主妇
hi,嗨
how,怎么；怎样
today,今天；现今； 现在
hairdresser,理发师 ，美发师
well,健康的； 令人满 意地；很好地；顺利地
woman,女人； 女人的 ，女 性的 ，妇女的； 为
short,短的； 缺少
dirty,肮脏的 ，有灰尘的； 弄脏 ，玷污； 不公
thin,瘦的；稀薄的 ，淡的； 变薄 ，变少
tall,身材高的 ，高大的
clean,打扫； 清洁的 ，干 净的； 清洁
hot,热的 ，烫的 ，炎热的
young,年轻的 ，年纪小的；没 有经验的； （动物的
busy,忙碌的 ，正被占用的； 使忙于
blue,蓝色的； 蓝色
girl,女孩；少女
friend,朋友
Norwegian,挪威的； 挪威人
passport,护照；途径 ，手段
brown,褐色的 ，棕色的； 褐色 ，棕色
Russian,俄罗斯的 ，俄语的； 俄罗斯人 ，俄语
Dutch,荷兰人 ，荷兰语
red,红色的； 红色
yellow,黄色的； 黄色
black,黑色的； 黑人
orange,橘子 ，橙子
these,这些； 这些的
assistant,助理 ，助手； 助理 的 ，辅助的
employee,雇员
tired,疲倦的 ，疲劳的
boy,男孩
right,正确的；右边的； 权利； 恰当地
thirsty,口渴的；渴望的
open,打开 ，开门； 打开 的
television,电视
magazine,杂志 ，期刊
bed,床；河床 ，海床
newspaper,报纸
stereo,立体声； 立体声的
kitchen,厨房；炊具
refrigerator,冰箱 ，冷藏库
electric,电的 ，带电的
cooker,炉灶
middle,中部， 中间； 中部 的， 中间的
yes,答话时表示正确或真 实； 是 ，对；肯定
wash,清洗； 洗
jump,跳；暴涨
sky,天空； 将 … …击向空 中
trousers,裤子
put,放 ，摆；使处于
day,天 ，一日
sharpen,削尖；磨快；使敏捷；使 提高
sun,太阳； 阳光； 晒太阳
where,什么地方， 哪里 ，在 哪里， … … 的
door,门 ；通道
over,越过；遍布；翻倒； 结束； 过去的；外
boat,小船 ，艇； 乘船； 用船运输
walk,行走；沿着 …走， 陪 着 … …走； 散步
tap,水龙头； 监听 ，窃听
bridge,桥 ，桥梁； 桥梁 ，纽带
basket,篮 ，篓 ，筐
air,空气； 通风
in,在 … …里 ，在 … …地 方 ，在 … …期间 ，在
between,在 … … 中间
meal,一餐 ，一顿饭
across,越过 ，横跨； 横过
village,村庄 ，乡村
cry,哭 ，哭泣； 哭声， 嚎 叫
must,必须；必然要
of,… … 的；属于......
wait,等待； 等待
near,在......附近 ，靠近； 近 ，接近； 近的
swim,游泳； 眩晕； 游泳
valley,山谷 ，溪谷 ，低谷
ship,船 ，舰； 装上 船 ，运送
take off,起飞
